City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
174,Dois Vizinhos,BR,70.36,light rain,-25.7336,-53.0572,Dois Vizinhos Palace Hotel
177,Yulara,AU,66.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
179,Ahipara,NZ,71.01,few clouds,-35.1667,173.1667,Ahipara Holiday Park
185,Guerrero Negro,MX,68.14,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
191,Sucua,EC,83.14,moderate rain,-2.4667,-78.1667,Hotel Orellana
193,Cidreira,BR,66.6,clear sky,-30.1811,-50.2056,Hotel Castelo
194,Cururupu,BR,77.81,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
197,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
198,Pacific Grove,US,72.59,clear sky,36.6177,-121.9166,Lovers Point Inn
199,Ternate,ID,81.14,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
205,Gisborne,NZ,71.94,clear sky,-38.6533,178.0042,ASURE Alfresco Motor Lodge
207,Chuy,UY,65.68,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
209,Matara,LK,75.2,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
210,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
213,Saldanha,ZA,66.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
214,Sao Gabriel Da Cachoeira,BR,72.32,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
216,Kavaratti,IN,80.4,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
217,Carnarvon,AU,69.87,light rain,-24.8667,113.6333,Hospitality Carnarvon
222,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
226,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
228,Atar,MR,83.3,overcast clouds,20.5169,-13.0499,Oumou Elghoura
232,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
237,Manta,EC,78.58,few clouds,-0.95,-80.7333,Balandra Hotel
243,Grajau,BR,82.85,moderate rain,-5.8194,-46.1386,Hotel Confiança
244,Sao Felix Do Xingu,BR,76.59,broken clouds,-6.6447,-51.995,Rio Xingu Camping
250,Kaeo,NZ,73.33,broken clouds,-35.1,173.7833,Bushido Lodge
252,Luganville,VU,81.23,light rain,-15.5333,167.1667,The Espiritu Hotel
253,Bilma,NE,78.15,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
254,Nabire,ID,77.79,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
255,Faanui,PF,80.65,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
257,Manokwari,ID,79.52,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
258,Mutis,CO,77.67,light rain,6.2262,-77.4044,Paraiso Escondido
259,Comodoro Rivadavia,AR,71.46,light rain,-45.8667,-67.5,Austral Hotel
262,Sinnamary,GF,79.68,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
270,Calama,CL,72.09,scattered clouds,-22.4667,-68.9333,Diego De Almagro Calama
271,Tapes,BR,68.23,clear sky,-30.6733,-51.3958,Cabanas Camping Union
272,Guarapari,BR,71.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
279,Mana,GF,78.13,scattered clouds,5.6592,-53.7767,LE SAMANA
280,Araguacu,BR,76.57,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
281,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
282,Barranca,PE,65.84,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
288,Lundazi,ZM,73.9,clear sky,-12.2929,33.1782,Knox Lodge
290,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
291,Ontario,US,79.63,haze,34.0633,-117.6509,American Inn
294,Victoria Point,AU,75.15,moderate rain,-27.5833,153.3,Bay Retreat Motel
296,Palmas,BR,75.07,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
298,Diffa,NE,79.9,clear sky,13.3154,12.6113,ProDAF/Diffa
299,Acari,PE,73.02,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
301,Ixtapa,MX,83.43,clear sky,20.7,-105.2,Hotel Plaza Providencia
302,Mahibadhoo,MV,81.95,overcast clouds,3.7833,72.9667,Omadhoo Inn
304,Sur,OM,73.56,clear sky,22.5667,59.5289,Sur Plaza Hotel
308,Hambantota,LK,79.14,clear sky,6.1241,81.1185,Bungalow 63
311,Moindou,NC,76.95,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
313,Sao Domingos,BR,77.61,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
319,Dagua,CO,82.9,overcast clouds,3.6569,-76.6886,Hostal Río Dagua
320,San Julian,MX,71.87,clear sky,21.0167,-102.1667,La Nueva España
322,Keningau,MY,77.45,overcast clouds,5.3378,116.1602,Sabindo Hotel
323,Mtwara,TZ,77.97,few clouds,-10.2667,40.1833,TIL Hotels Mtwara
324,Takoradi,GH,80.44,few clouds,4.8845,-1.7554,Raybow International Hotel
325,Dingle,PH,76.19,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
328,Kulhudhuffushi,MV,81.05,scattered clouds,6.6221,73.07,Haajy Guest House 1
330,Ponta Do Sol,PT,65.71,overcast clouds,32.6667,-17.1,Hotel do Campo
336,Mabaruma,GY,75.94,broken clouds,8.2,-59.7833,Monty Brooms Guest House
339,Poso,ID,77.32,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
340,Marsh Harbour,BS,75.51,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
341,Saint Simons,US,66.47,overcast clouds,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
345,Port Blair,IN,81.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
350,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
351,Carutapera,BR,79.9,few clouds,-1.195,-46.02,Lidera
352,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
354,Visavadar,IN,77.13,scattered clouds,21.3833,70.6833,Brahmanad Dham Guest House
356,Mackay,AU,77.68,scattered clouds,-21.15,149.2,International Lodge Motel
363,Necochea,AR,82.76,few clouds,-38.5473,-58.7368,dyd -mar Hotel
366,The Valley,AI,80.74,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
371,Pimentel,PE,70.09,few clouds,-6.8367,-79.9342,Casona Del Muelle
373,Nyimba,ZM,78.93,overcast clouds,-14.5566,30.8149,Dali Dali Lodge
377,Koumac,NC,78.22,scattered clouds,-20.5667,164.2833,Le Monitel
379,Saint George,US,69.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
382,Ihosy,MG,69.3,scattered clouds,-22.4,46.1167,Hotely Sariaka
386,Huazhou,CN,72.97,broken clouds,21.6333,110.5833,Feilong Hotel
387,Half Moon Bay,US,70.2,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
389,Kefamenanu,ID,75.27,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
394,Kalmunai,LK,77.23,broken clouds,7.4167,81.8167,VS Villa
405,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
407,Kathu,TH,83.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
408,Qui Nhon,VN,74.68,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
413,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
414,Jardim,BR,80.2,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
419,Sorong,ID,79.57,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
422,Itoman,JP,74.17,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
423,Monrovia,LR,76.77,broken clouds,6.3005,-10.7969,Sunset Inn
428,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
434,Kalia,BD,68.95,few clouds,23.0396,89.6328,সামিয়া এন্টারপ্রাইজ
437,Viedma,AR,84.72,clear sky,-40.8135,-62.9967,Hotel Cristal
440,Dhidhdhoo,MV,81.1,scattered clouds,6.8833,73.1,Dhidhoo beach
445,Inhambane,MZ,73.74,overcast clouds,-23.865,35.3833,Oceano
446,Kailua,US,84.18,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
