City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Fortuna,US,2021-11-20 17:57:22,40.5982,-124.1573,51.37,60,40,3.44
68,Narwar,IN,2021-11-20 17:57:22,25.65,77.9,63.57,83,68,1.52
69,Sakhon Nakhon,TH,2021-11-20 17:57:23,17.1612,104.1472,75.56,77,76,1.41
70,Mehamn,NO,2021-11-20 17:57:23,71.0357,27.8492,29.37,70,100,24.7
71,Kavieng,PG,2021-11-20 17:57:23,-2.5744,150.7967,81.93,75,45,6.73
72,Norman Wells,CA,2021-11-20 17:57:24,65.282,-126.8329,-0.36,78,75,12.66
73,Erenhot,CN,2021-11-20 17:57:24,43.6475,111.9767,22.82,41,51,23.04
74,Luderitz,NA,2021-11-20 17:57:24,-26.6481,15.1594,62.73,77,10,21.41
75,Pisco,PE,2021-11-20 17:57:25,-13.7,-76.2167,69.85,73,40,8.05
76,Butaritari,KI,2021-11-20 17:57:25,3.0707,172.7902,82.36,66,79,14.34
77,Mar Del Plata,AR,2021-11-20 17:57:25,-38.0023,-57.5575,84.22,68,0,11.01
78,Lebu,CL,2021-11-20 17:57:26,-37.6167,-73.65,60.01,75,37,15.57
79,Clyde River,CA,2021-11-20 17:57:26,70.4692,-68.5914,8.83,85,40,24.16
80,Zhuanghe,CN,2021-11-20 17:57:27,39.7008,122.9911,39.54,73,100,2.06
81,Port Elizabeth,ZA,2021-11-20 17:57:27,-33.918,25.5701,64.69,72,75,12.66
82,Maceio,BR,2021-11-20 17:53:35,-9.6658,-35.7353,87.24,54,75,14.97
83,Tual,ID,2021-11-20 17:57:28,-5.6667,132.75,84.29,73,89,7.16
84,Brodokalmak,RU,2021-11-20 17:57:28,55.5748,62.082,22.46,84,99,18.5
85,Meulaboh,ID,2021-11-20 17:57:29,4.1363,96.1285,77.65,87,100,3.49
86,Port Hedland,AU,2021-11-20 17:57:29,-20.3167,118.5667,80.65,74,100,8.05
87,Bakhtiyarpur,IN,2021-11-20 17:57:29,25.4667,85.5167,68.02,52,59,6.38
88,Tautira,PF,2021-11-20 17:58:30,-17.7333,-149.15,82.42,67,67,15.7
89,Haines Junction,CA,2021-11-20 17:58:30,60.7522,-137.5108,-17.68,99,70,0.85
90,Atar,MR,2021-11-20 17:58:31,20.5169,-13.0499,89.44,19,100,3.65
91,Thompson,CA,2021-11-20 17:58:31,55.7435,-97.8558,19.56,86,75,12.66
92,Carnarvon,AU,2021-11-20 17:58:32,-24.8667,113.6333,71.67,83,40,9.22
93,Puerto Ayora,EC,2021-11-20 17:58:32,-0.7393,-90.3518,76.96,72,67,11.43
94,Andenes,NO,2021-11-20 17:58:32,69.3143,16.1194,32.07,64,90,17.27
95,Turayf,SA,2021-11-20 17:58:33,31.6725,38.6637,59.25,63,0,4.61
96,Rennes,FR,2021-11-20 17:53:48,48.1667,-1.6667,44.92,93,90,6.91
97,Gotsu,JP,2021-11-20 17:58:33,35.0,132.2167,54.05,78,2,5.41
98,Bandarbeyla,SO,2021-11-20 17:58:34,9.4942,50.8122,77.58,72,4,10.09
99,General Roca,AR,2021-11-20 17:58:34,-39.0333,-67.5833,92.62,9,0,21.18
100,Georgetown,MY,2021-11-20 17:56:48,5.4112,100.3354,80.53,93,20,7.0
101,Leh,IN,2021-11-20 17:58:34,34.1667,77.5833,17.92,54,0,2.86
102,Salalah,OM,2021-11-20 17:58:35,17.0151,54.0924,76.5,70,16,0.47
103,Vilyuysk,RU,2021-11-20 17:58:35,63.7553,121.6247,-11.54,96,100,2.24
104,Faanui,PF,2021-11-20 17:58:36,-16.4833,-151.75,80.58,77,78,20.47
105,Yulara,AU,2021-11-20 17:58:36,-25.2406,130.9889,66.04,77,74,13.8
106,Voznesenye,RU,2021-11-20 17:58:36,61.0106,35.4781,32.49,93,98,12.37
107,Pevek,RU,2021-11-20 17:58:37,69.7008,170.3133,-10.66,97,70,2.44
108,Klaksvik,FO,2021-11-20 17:58:37,62.2266,-6.589,38.32,79,100,29.01
109,Flin Flon,CA,2021-11-20 17:58:37,54.7682,-101.865,21.04,68,90,13.8
110,Pitimbu,BR,2021-11-20 17:58:38,-7.4706,-34.8086,88.39,69,50,12.01
111,Manakara,MG,2021-11-20 17:58:38,-22.1333,48.0167,75.99,81,37,11.16
112,Deputatskiy,RU,2021-11-20 17:58:39,69.3,139.9,-6.32,98,100,2.66
113,Akdepe,TM,2021-11-20 17:58:39,42.0551,59.3788,30.2,50,44,8.05
114,Sao Gabriel Da Cachoeira,BR,2021-11-20 17:58:39,-0.1303,-67.0892,78.6,89,40,4.61
115,Okha,RU,2021-11-20 17:58:40,53.5739,142.9478,27.03,83,91,21.34
116,Margate,GB,2021-11-20 17:58:40,51.3813,1.3862,50.31,82,100,1.99
117,Yanam,IN,2021-11-20 17:58:41,16.7333,82.2167,77.63,92,43,4.85
118,Xiaoshi,CN,2021-11-20 17:58:41,41.2971,124.1209,26.62,75,100,1.23
119,Port Alfred,ZA,2021-11-20 17:58:41,-33.5906,26.891,64.44,70,75,15.68
120,Macau,MO,2021-11-20 17:55:19,22.2006,113.5461,74.07,88,20,13.8
121,Naze,JP,2021-11-20 17:58:42,28.3667,129.4833,68.45,70,99,13.89
122,Eureka,US,2021-11-20 17:58:42,40.8021,-124.1637,51.64,90,9,4.68
123,Lagoa,PT,2021-11-20 17:58:43,39.05,-27.9833,65.14,76,99,26.15
124,Vao,NC,2021-11-20 17:58:43,-22.6667,167.4833,72.81,80,58,19.17
125,Codrington,AU,2021-11-20 17:58:43,-38.2667,141.9667,48.52,83,2,8.28
126,Luneville,FR,2021-11-20 17:58:44,48.6,6.5,43.38,89,6,2.13
127,Dauphin,CA,2021-11-20 17:58:44,51.1494,-100.0502,28.54,69,1,13.8
128,Yellowknife,CA,2021-11-20 17:57:32,62.456,-114.3525,-0.58,90,20,10.36
129,Sabang,ID,2021-11-20 17:58:45,5.8933,95.3214,81.99,77,85,16.46
130,Lapua,FI,2021-11-20 17:58:45,62.9693,23.0088,33.51,93,20,3.71
131,Jacqueville,CI,2021-11-20 17:58:46,5.2052,-4.4146,84.11,82,16,9.78
132,Belem,BR,2021-11-20 17:58:46,-1.4558,-48.5044,75.24,94,75,6.91
133,Laguna,US,2021-11-20 17:54:21,38.421,-121.4238,64.0,84,90,3.0
134,Nikolskoye,RU,2021-11-20 17:59:07,59.7035,30.7861,37.29,72,95,11.25
135,Aswan,EG,2021-11-20 17:56:49,24.0934,32.907,74.5,31,0,4.61
136,Bolshaya Martynovka,RU,2021-11-20 17:59:47,47.271,41.6679,46.04,89,100,23.42
137,Yumen,CN,2021-11-20 17:59:47,40.2833,97.2,18.75,51,0,4.45
138,New Norfolk,AU,2021-11-20 17:59:48,-42.7826,147.0587,49.5,82,56,2.91
139,Bredasdorp,ZA,2021-11-20 17:56:06,-34.5322,20.0403,63.28,69,98,17.38
140,Creel,MX,2021-11-20 17:59:48,27.75,-107.6333,62.46,34,61,8.23
141,Maple Creek,CA,2021-11-20 17:59:48,49.9168,-109.4848,39.61,48,41,14.97
142,Kavaratti,IN,2021-11-20 17:59:49,10.5669,72.642,81.32,76,85,13.49
143,Varna,BG,2021-11-20 17:59:49,43.2167,27.9167,52.23,78,0,3.44
